2025-07-20 13:50:59,842 - INFO - 🚀 Starting tracker server (attempt 1)
2025-07-20 13:50:59,842 - INFO - 🚀 Starting Super Metroid Tracker Server...
2025-07-20 13:50:59,845 - INFO - ✅ Server started successfully:
2025-07-20 13:50:59,845 - INFO -    📱 Tracker UI: http://localhost:3000/
2025-07-20 13:50:59,845 - INFO -    📊 API Status: http://localhost:3000/api/status
2025-07-20 13:50:59,845 - INFO -    📈 API Stats:  http://localhost:3000/api/stats
2025-07-20 13:50:59,845 - INFO -    ⏹️  Press Ctrl+C to stop
2025-07-20 13:53:01,152 - INFO - 🚀 Starting tracker server (attempt 1)
2025-07-20 13:53:01,152 - INFO - 🚀 Starting Super Metroid Tracker Server...
2025-07-20 13:53:01,156 - INFO - ✅ Server started successfully:
2025-07-20 13:53:01,156 - INFO -    📱 Tracker UI: http://localhost:3000/
2025-07-20 13:53:01,156 - INFO -    📊 API Status: http://localhost:3000/api/status
2025-07-20 13:53:01,156 - INFO -    📈 API Stats:  http://localhost:3000/api/stats
2025-07-20 13:53:01,156 - INFO -    ⏹️  Press Ctrl+C to stop
2025-07-20 14:13:31,475 - WARNING - No stats available, using fallback
2025-07-20 14:13:32,475 - WARNING - No stats available, using fallback
2025-07-20 14:13:33,476 - WARNING - No stats available, using fallback
2025-07-20 14:13:35,477 - WARNING - No stats available, using fallback
2025-07-20 14:13:36,474 - WARNING - No stats available, using fallback
2025-07-20 14:13:37,475 - WARNING - No stats available, using fallback
2025-07-20 14:13:39,476 - WARNING - No stats available, using fallback
2025-07-20 14:13:40,481 - WARNING - No stats available, using fallback
2025-07-20 14:13:41,480 - WARNING - No stats available, using fallback
2025-07-20 14:13:43,474 - WARNING - No stats available, using fallback
2025-07-20 14:13:44,477 - WARNING - No stats available, using fallback
2025-07-20 14:13:45,476 - WARNING - No stats available, using fallback
2025-07-20 14:13:47,476 - WARNING - No stats available, using fallback
2025-07-20 14:13:48,476 - WARNING - No stats available, using fallback
2025-07-20 14:13:49,476 - WARNING - No stats available, using fallback
2025-07-20 14:13:51,477 - WARNING - No stats available, using fallback
2025-07-20 14:13:52,478 - WARNING - No stats available, using fallback
2025-07-20 14:13:53,479 - WARNING - No stats available, using fallback
2025-07-20 14:13:55,476 - WARNING - No stats available, using fallback
2025-07-20 14:13:56,477 - WARNING - No stats available, using fallback
2025-07-20 14:14:01,759 - INFO - 🚀 Starting tracker server (attempt 1)
2025-07-20 14:14:01,759 - INFO - 🚀 Starting Super Metroid Tracker Server...
2025-07-20 14:14:01,762 - INFO - ✅ Server started successfully:
2025-07-20 14:14:01,762 - INFO -    📱 Tracker UI: http://localhost:3000/
2025-07-20 14:14:01,762 - INFO -    📊 API Status: http://localhost:3000/api/status
2025-07-20 14:14:01,762 - INFO -    📈 API Stats:  http://localhost:3000/api/stats
2025-07-20 14:14:01,762 - INFO -    ⏹️  Press Ctrl+C to stop
2025-07-20 14:14:39,798 - WARNING - No stats available, using fallback
2025-07-20 14:14:40,161 - WARNING - No stats available, using fallback
2025-07-20 14:14:40,164 - WARNING - No stats available, using fallback
2025-07-20 14:14:40,793 - WARNING - No stats available, using fallback
2025-07-20 14:14:41,793 - WARNING - No stats available, using fallback
2025-07-20 14:14:43,901 - WARNING - No stats available, using fallback
2025-07-20 14:14:43,939 - WARNING - No stats available, using fallback
2025-07-20 14:14:44,793 - WARNING - No stats available, using fallback
2025-07-20 14:14:45,995 - WARNING - No stats available, using fallback
