🎮 Starting Super Metroid Tracker (Kotlin Native)
Port: 8082, Poll Interval: 1000ms
🎭 Mock UDP: Mode changed to STATIC
🎭 Mock UDP: Static state set to Norfair
Background poller started with 1000ms interval
📡 Starting background polling loop...
🚀 Background Polling Super Metroid Tracker Server
==================================================
📱 Tracker UI: http://localhost:8082/
📊 API Status: http://localhost:8082/api/status
📈 API Stats:  http://localhost:8082/api/stats
⚡ Background polling: 1000ms intervals
🎯 Architecture: Background UDP + Instant Cache Serving
⏹️  Press Ctrl+C to stop
==================================================
✅ BOOTSTRAP: Save file looks like mid-game, keeping MB cache as-is
✅ Poll #9980 completed in 4ms
✅ Poll #10000 completed in 2ms
✅ Poll #10020 completed in 1ms
✅ Poll #10040 completed in 1ms
✅ Poll #10060 completed in 1ms
✅ Poll #10080 completed in 1ms
✅ Poll #10100 completed in 2ms
✅ Poll #10120 completed in 1ms
✅ Poll #10140 completed in 1ms
✅ Poll #10160 completed in 3ms
✅ Poll #10180 completed in 2ms
✅ Poll #10200 completed in 2ms
✅ Poll #10220 completed in 1ms
✅ Poll #10240 completed in 2ms
✅ Poll #10260 completed in 1ms
✅ Poll #10280 completed in 2ms
✅ Poll #10300 completed in 1ms
✅ Poll #10320 completed in 1ms
✅ Poll #10340 completed in 2ms
✅ Poll #10360 completed in 1ms
✅ Poll #10380 completed in 2ms
✅ Poll #10400 completed in 2ms
✅ Poll #10420 completed in 1ms
✅ Poll #10440 completed in 1ms
✅ Poll #10460 completed in 1ms
✅ Poll #10480 completed in 1ms
✅ Poll #10500 completed in 1ms
✅ Poll #10520 completed in 1ms
✅ Poll #10540 completed in 1ms
✅ Poll #10560 completed in 2ms
✅ Poll #10580 completed in 1ms
✅ Poll #10600 completed in 1ms
✅ Poll #10620 completed in 2ms
✅ Poll #10640 completed in 3ms
✅ Poll #10660 completed in 2ms
✅ Poll #10680 completed in 1ms
✅ Poll #10700 completed in 2ms
✅ Poll #10720 completed in 1ms
✅ Poll #10740 completed in 4ms
✅ Poll #10760 completed in 1ms
✅ Poll #10780 completed in 1ms
✅ Poll #10800 completed in 1ms
✅ Poll #10820 completed in 1ms
✅ Poll #10840 completed in 2ms
✅ Poll #10860 completed in 1ms
✅ Poll #10880 completed in 1ms
✅ Poll #10900 completed in 2ms
✅ Poll #10920 completed in 3ms
✅ Poll #10940 completed in 2ms
✅ Poll #10960 completed in 1ms
✅ Poll #10980 completed in 2ms
✅ Poll #11000 completed in 3ms
✅ Poll #11020 completed in 1ms
✅ Poll #11040 completed in 1ms
✅ Poll #11060 completed in 1ms
✅ Poll #11080 completed in 3ms
✅ Poll #11100 completed in 2ms
✅ Poll #11120 completed in 1ms
✅ Poll #11140 completed in 2ms
✅ Poll #11160 completed in 2ms
✅ Poll #11180 completed in 1ms
✅ Poll #11200 completed in 0ms
✅ Poll #11220 completed in 1ms
✅ Poll #11240 completed in 1ms
✅ Poll #11260 completed in 1ms
✅ Poll #11280 completed in 2ms
✅ Poll #11300 completed in 1ms
✅ Poll #11320 completed in 2ms
✅ Poll #11340 completed in 2ms
✅ Poll #11360 completed in 1ms
✅ Poll #11380 completed in 2ms
✅ Poll #11400 completed in 2ms
✅ Poll #11420 completed in 1ms
✅ Poll #11440 completed in 1ms
✅ Poll #11460 completed in 1ms
✅ Poll #11480 completed in 2ms
✅ Poll #11500 completed in 2ms
✅ Poll #11520 completed in 2ms
✅ Poll #11540 completed in 1ms
✅ Poll #11560 completed in 2ms
✅ Poll #11580 completed in 1ms
✅ Poll #11600 completed in 2ms
✅ Poll #11620 completed in 1ms
✅ Poll #11640 completed in 1ms
✅ Poll #11660 completed in 1ms
✅ Poll #11680 completed in 0ms
✅ Poll #11700 completed in 2ms
✅ Poll #11720 completed in 2ms
✅ Poll #11740 completed in 2ms
✅ Poll #11760 completed in 2ms
✅ Poll #11780 completed in 1ms
✅ Poll #11800 completed in 2ms
✅ Poll #11820 completed in 2ms
✅ Poll #11840 completed in 3ms
✅ Poll #11860 completed in 1ms
✅ Poll #11880 completed in 2ms
✅ Poll #11900 completed in 4ms
✅ Poll #11920 completed in 1ms
✅ Poll #11940 completed in 1ms
✅ Poll #11960 completed in 1ms
✅ Poll #11980 completed in 1ms
✅ Poll #12000 completed in 1ms
✅ Poll #12020 completed in 1ms
✅ Poll #12040 completed in 3ms
✅ Poll #12060 completed in 2ms
✅ Poll #12080 completed in 1ms
✅ Poll #12100 completed in 1ms
✅ Poll #12120 completed in 1ms
✅ Poll #12140 completed in 1ms
✅ Poll #12160 completed in 3ms
✅ Poll #12180 completed in 3ms
✅ Poll #12200 completed in 2ms
✅ Poll #12220 completed in 2ms
✅ Poll #12240 completed in 2ms
✅ Poll #12260 completed in 1ms
✅ Poll #12280 completed in 2ms
✅ Poll #12300 completed in 2ms
✅ Poll #12320 completed in 2ms
✅ Poll #12340 completed in 1ms
✅ Poll #12360 completed in 1ms
✅ Poll #12380 completed in 1ms
✅ Poll #12400 completed in 3ms
✅ Poll #12420 completed in 3ms
✅ Poll #12440 completed in 1ms
✅ Poll #12460 completed in 2ms
✅ Poll #12480 completed in 2ms
✅ Poll #12500 completed in 1ms
✅ Poll #12520 completed in 2ms
✅ Poll #12540 completed in 1ms
✅ Poll #12560 completed in 1ms
✅ Poll #12580 completed in 2ms
✅ Poll #12600 completed in 1ms
✅ Poll #12620 completed in 1ms
✅ Poll #12640 completed in 1ms
✅ Poll #12660 completed in 1ms
✅ Poll #12680 completed in 2ms
✅ Poll #12700 completed in 1ms
✅ Poll #12720 completed in 1ms
✅ Poll #12740 completed in 1ms
✅ Poll #12760 completed in 3ms
✅ Poll #12780 completed in 2ms
✅ Poll #12800 completed in 2ms
✅ Poll #12820 completed in 2ms
✅ Poll #12840 completed in 2ms
✅ Poll #12860 completed in 2ms
✅ Poll #12880 completed in 2ms
✅ Poll #12900 completed in 2ms
✅ Poll #12920 completed in 1ms
✅ Poll #12940 completed in 1ms
✅ Poll #12960 completed in 2ms
✅ Poll #12980 completed in 1ms
✅ Poll #13000 completed in 1ms
✅ Poll #13020 completed in 3ms
✅ Poll #13040 completed in 1ms
✅ Poll #13060 completed in 3ms
✅ Poll #13080 completed in 2ms
✅ Poll #13100 completed in 1ms
✅ Poll #13120 completed in 2ms
✅ Poll #13140 completed in 2ms
✅ Poll #13160 completed in 2ms
✅ Poll #13180 completed in 1ms
✅ Poll #13200 completed in 2ms
✅ Poll #13220 completed in 1ms
✅ Poll #13240 completed in 3ms
✅ Poll #13260 completed in 1ms
✅ Poll #13280 completed in 2ms
✅ Poll #13300 completed in 1ms
✅ Poll #13320 completed in 2ms
✅ Poll #13340 completed in 1ms
✅ Poll #13360 completed in 1ms
✅ Poll #13380 completed in 3ms
✅ Poll #13400 completed in 1ms
✅ Poll #13420 completed in 2ms
✅ Poll #13440 completed in 1ms
✅ Poll #13460 completed in 1ms
✅ Poll #13480 completed in 1ms
✅ Poll #13500 completed in 2ms
✅ Poll #13520 completed in 3ms
✅ Poll #13540 completed in 2ms
✅ Poll #13560 completed in 1ms
✅ Poll #13580 completed in 2ms
✅ Poll #13600 completed in 1ms
✅ Poll #13620 completed in 1ms
✅ Poll #13640 completed in 3ms
✅ Poll #13660 completed in 1ms
✅ Poll #13680 completed in 1ms
✅ Poll #13700 completed in 2ms
✅ Poll #13720 completed in 1ms
✅ Poll #13740 completed in 3ms
✅ Poll #13760 completed in 1ms
✅ Poll #13780 completed in 1ms
✅ Poll #13800 completed in 1ms
✅ Poll #13820 completed in 0ms
✅ Poll #13840 completed in 1ms
✅ Poll #13860 completed in 1ms
✅ Poll #13880 completed in 1ms
✅ Poll #13900 completed in 1ms
✅ Poll #13920 completed in 1ms
✅ Poll #13940 completed in 1ms
✅ Poll #13960 completed in 1ms
✅ Poll #13980 completed in 4ms
✅ Poll #14000 completed in 1ms
✅ Poll #14020 completed in 1ms
✅ Poll #14040 completed in 1ms
✅ Poll #14060 completed in 1ms
✅ Poll #14080 completed in 2ms
✅ Poll #14100 completed in 2ms
✅ Poll #14120 completed in 2ms
✅ Poll #14140 completed in 2ms
✅ Poll #14160 completed in 1ms
✅ Poll #14180 completed in 1ms
✅ Poll #14200 completed in 2ms
✅ Poll #14220 completed in 2ms
✅ Poll #14240 completed in 1ms
✅ Poll #14260 completed in 2ms
✅ Poll #14280 completed in 2ms
✅ Poll #14300 completed in 2ms
